epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
134,236629,0.9581,0.61612,0.96146,0.7194,0.45898,0.48667,0.32467,0.89695,0.53722,0.95221,0.005611,0.005611,0.005611
135,238403,0.957,0.61592,0.962,0.72837,0.45537,0.48669,0.32427,0.89648,0.53695,0.95204,0.005578,0.005578,0.005578
136,240163,0.95498,0.61265,0.96205,0.70805,0.46323,0.4871,0.32455,0.89638,0.53672,0.9521,0.005545,0.005545,0.005545
137,241915,0.95494,0.61232,0.96094,0.71081,0.46766,0.4868,0.32504,0.89619,0.53666,0.95205,0.005512,0.005512,0.005512
138,243682,0.95453,0.61208,0.96274,0.71337,0.46548,0.48646,0.32446,0.89608,0.53619,0.95209,0.005479,0.005479,0.005479
139,245437,0.95247,0.60992,0.96138,0.70942,0.46618,0.48631,0.32427,0.89592,0.53631,0.95203,0.005446,0.005446,0.005446
140,247194,0.95268,0.60958,0.96061,0.70896,0.4684,0.48647,0.32389,0.89569,0.53622,0.95192,0.005413,0.005413,0.005413
141,248952,0.95299,0.60908,0.9592,0.70773,0.46864,0.48578,0.32403,0.8954,0.53588,0.95161,0.00538,0.00538,0.00538
142,250707,0.95009,0.6074,0.95964,0.71425,0.46632,0.48691,0.32474,0.89515,0.53547,0.9515,0.005347,0.005347,0.005347
143,252466,0.95263,0.60891,0.96065,0.7188,0.46846,0.488,0.32524,0.89502,0.53535,0.95136,0.005314,0.005314,0.005314
144,254242,0.94981,0.6066,0.96012,0.72012,0.46926,0.48873,0.32584,0.89488,0.53498,0.95134,0.005281,0.005281,0.005281
145,256017,0.94948,0.60542,0.96003,0.71868,0.47002,0.4893,0.3261,0.89493,0.53491,0.95137,0.005248,0.005248,0.005248
146,257782,0.94873,0.60711,0.95835,0.72265,0.47118,0.48953,0.3264,0.89475,0.53478,0.95125,0.005215,0.005215,0.005215
147,259555,0.95068,0.60589,0.95905,0.72255,0.47144,0.49047,0.32677,0.89475,0.53473,0.95138,0.005182,0.005182,0.005182
148,261329,0.9469,0.60415,0.95867,0.71956,0.47491,0.49108,0.32712,0.89443,0.53481,0.95118,0.005149,0.005149,0.005149
149,263098,0.94534,0.60086,0.9569,0.71553,0.47174,0.491,0.32724,0.89421,0.53426,0.95112,0.005116,0.005116,0.005116
150,264869,0.94903,0.60323,0.95883,0.72466,0.46738,0.49096,0.3271,0.89405,0.53399,0.95119,0.005083,0.005083,0.005083
151,266625,0.94821,0.60347,0.95922,0.72586,0.46771,0.49147,0.32771,0.89368,0.53377,0.95114,0.00505,0.00505,0.00505
152,268393,0.94465,0.60155,0.95801,0.72713,0.46586,0.49175,0.32765,0.89383,0.53354,0.95123,0.005017,0.005017,0.005017
153,270153,0.94284,0.59961,0.95714,0.73445,0.46544,0.49091,0.32781,0.89367,0.53321,0.95135,0.004984,0.004984,0.004984
154,271916,0.94424,0.59873,0.95771,0.73483,0.46814,0.49186,0.32787,0.89349,0.53295,0.95143,0.004951,0.004951,0.004951
155,273680,0.94181,0.59655,0.95537,0.72631,0.47055,0.4918,0.32802,0.89352,0.53284,0.95153,0.004918,0.004918,0.004918
156,275446,0.94327,0.59889,0.95698,0.73126,0.46613,0.49147,0.3282,0.89356,0.53255,0.9515,0.004885,0.004885,0.004885
157,277222,0.94214,0.59845,0.956,0.7237,0.4686,0.49193,0.32835,0.89346,0.53242,0.95144,0.004852,0.004852,0.004852
158,278997,0.94023,0.59515,0.95439,0.72539,0.47001,0.49263,0.32869,0.89321,0.53222,0.95128,0.004819,0.004819,0.004819
159,280765,0.93709,0.59388,0.95477,0.73432,0.46814,0.49359,0.32941,0.89302,0.53209,0.95112,0.004786,0.004786,0.004786
160,282542,0.93989,0.59524,0.95604,0.73382,0.46991,0.49306,0.32898,0.8928,0.53188,0.95113,0.004753,0.004753,0.004753
161,284303,0.93831,0.59351,0.95417,0.73581,0.46686,0.49311,0.32906,0.89285,0.53195,0.95124,0.00472,0.00472,0.00472
162,286057,0.93813,0.59307,0.95476,0.73713,0.46666,0.49362,0.3293,0.89293,0.53192,0.95123,0.004687,0.004687,0.004687
163,287813,0.93714,0.5912,0.95237,0.72709,0.47031,0.49309,0.32972,0.89285,0.53162,0.95098,0.004654,0.004654,0.004654
164,289576,0.93781,0.59233,0.95353,0.72475,0.47015,0.4931,0.32984,0.89292,0.5317,0.95088,0.004621,0.004621,0.004621
165,291352,0.93638,0.59008,0.9521,0.7275,0.47033,0.49441,0.33099,0.89273,0.5311,0.95065,0.004588,0.004588,0.004588
166,293125,0.93523,0.58876,0.95228,0.73876,0.46411,0.49479,0.33132,0.8926,0.531,0.95048,0.004555,0.004555,0.004555
167,294900,0.93405,0.58823,0.95288,0.74638,0.46235,0.4949,0.3317,0.89256,0.53059,0.95056,0.004522,0.004522,0.004522
168,296672,0.9327,0.58624,0.95161,0.74129,0.46586,0.49572,0.33224,0.89266,0.53033,0.95058,0.004489,0.004489,0.004489
169,298426,0.93292,0.58602,0.95138,0.73834,0.46752,0.49584,0.33216,0.89264,0.53023,0.95062,0.004456,0.004456,0.004456
170,300184,0.93034,0.5843,0.95104,0.73465,0.46733,0.49566,0.33202,0.89228,0.5297,0.9506,0.004423,0.004423,0.004423
171,301941,0.92943,0.58301,0.95129,0.71814,0.47272,0.49585,0.33232,0.89205,0.52931,0.95069,0.00439,0.00439,0.00439
172,303703,0.93034,0.58248,0.95082,0.72991,0.46921,0.49633,0.33274,0.89189,0.52924,0.95053,0.004357,0.004357,0.004357
173,305470,0.93279,0.58335,0.95096,0.72542,0.46751,0.49723,0.33289,0.89173,0.52892,0.95038,0.004324,0.004324,0.004324
174,307245,0.92895,0.58133,0.94988,0.71347,0.47233,0.49778,0.33303,0.89144,0.52895,0.95005,0.004291,0.004291,0.004291
175,309020,0.92865,0.58159,0.94953,0.72525,0.46643,0.49803,0.33308,0.89145,0.5286,0.95015,0.004258,0.004258,0.004258
176,310773,0.92747,0.58043,0.94904,0.72473,0.4712,0.49843,0.33354,0.89128,0.5285,0.95005,0.004225,0.004225,0.004225
177,312550,0.92544,0.58053,0.94886,0.72537,0.47207,0.49895,0.33394,0.89141,0.52841,0.95014,0.004192,0.004192,0.004192
178,314319,0.92504,0.57902,0.94839,0.72272,0.47379,0.49932,0.33378,0.89179,0.52844,0.95019,0.004159,0.004159,0.004159
179,316075,0.92351,0.57687,0.94946,0.71792,0.4758,0.49838,0.33315,0.8919,0.52831,0.95032,0.004126,0.004126,0.004126
180,317829,0.92346,0.57612,0.94852,0.71453,0.48202,0.49991,0.3335,0.89176,0.52801,0.95026,0.004093,0.004093,0.004093
181,319580,0.92293,0.57603,0.94879,0.71528,0.4831,0.50003,0.33363,0.89161,0.52805,0.95027,0.00406,0.00406,0.00406
182,321340,0.91971,0.57304,0.94747,0.71426,0.48405,0.49956,0.33411,0.89132,0.52797,0.95014,0.004027,0.004027,0.004027
183,323107,0.9222,0.57336,0.94673,0.71589,0.48319,0.49927,0.33393,0.89138,0.52832,0.95015,0.003994,0.003994,0.003994
184,324863,0.91845,0.57081,0.9465,0.71371,0.48448,0.49931,0.33356,0.89149,0.52827,0.95038,0.003961,0.003961,0.003961
185,326621,0.91954,0.57223,0.94649,0.71599,0.48143,0.49941,0.33369,0.89132,0.52807,0.95041,0.003928,0.003928,0.003928
186,328380,0.91839,0.57057,0.94722,0.71553,0.48036,0.49905,0.3337,0.89099,0.52826,0.95035,0.003895,0.003895,0.003895
187,330134,0.91783,0.56919,0.94612,0.71799,0.47902,0.49822,0.33326,0.8911,0.52823,0.95045,0.003862,0.003862,0.003862
188,331886,0.91764,0.56946,0.94502,0.72456,0.47514,0.49745,0.33363,0.89122,0.52834,0.95043,0.003829,0.003829,0.003829
189,333636,0.91631,0.56675,0.945,0.72977,0.47389,0.49801,0.33349,0.89138,0.52859,0.9506,0.003796,0.003796,0.003796
190,335386,0.91406,0.5656,0.9434,0.72891,0.4757,0.49757,0.33388,0.89151,0.5288,0.95054,0.003763,0.003763,0.003763
191,337143,0.91442,0.56569,0.94344,0.73298,0.47555,0.49875,0.33417,0.89138,0.52909,0.95054,0.00373,0.00373,0.00373
